"filename_city","city_pretty","state","most_common_species","most_common_genus","Lat","Long","population","population_rank","number_trees","number_species","number_trees_filtered","Shannon_Wiener_Index","effective_species","max_abundance_most_common_species","max_abundance_most_common_genus","native_number_species","native_number_trees","native_Shannon_Wiener_Index","native_effective_species","number_trees_known_native_status","percent_native_trees","state_number_all_observed_species","state_number_native_species","shared_species_city_statenative","beta_diversity_city_statenative","nonnative_trees_NO_native_congener","nonnative_trees_YES_native_congener","nonnative_species_NO_native_congener","nonnative_species_YES_native_congener","nonnative_trees_PERCENTWITH_native_congeners","nonnative_species_PERCENTWITH_native_congeners","effective_species_park","effective_species_urban","percent_native_park","percent_native_urban","state_land_area_km2","Env_Long","Env_Lat","Annual_Mean_Temp","Mean_Diurnal_Range","Isothermality","Temp_Seasonality","Max_Temp_Warmest.Month","Min_Temp_Coldest_Month","Temp_Annual_Range","Mean_Temp_Wettest_Quarter","Mean_Temp_Driest_Quarter","Mean_Temp_Warmest_Quarter","Mean_Temp_Coldest_Quarter","Annual_Precip","Precip_Wettest_Month","Precip_Driest_Month","Precip_Seasonality","Precip_Wettest_Quarter","Precip_Driest_Quarter","Precip_Warmest_Quarter","Precip_Coldest_Quarter","city_incorporated_year","city_age_2021","tree_city_USA","tree_city_year","tree_city_age_2021"
"Albuquerque","Albuquerque","New Mexico","Ulmus pumila","Ulmus",35.0853336,-106.6055534,556495,32,2533,80,1943,2.9760542160602,19.6102858345399,0.0876979293544458,0.184328055217215,23,462,2.72402530460603,15.241550815156,1938,0.238390092879257,3993,3469,23,3503,823,653,22,13,0.442411924119241,0.371428571428571,NA,NA,NA,NA,"314161",-106.604166666667,35.1041666666667,133,166,42,8360,338,-55,393,232,28,242,28,227,42,10,52,102,33,92,33,1891,130,"yes",1999,22
"Anaheim","Anaheim","California","Magnolia grandiflora","Magnolia",33.8352932,-117.9145036,345012,56,79651,291,53793,3.92507562124219,50.6569086523576,0.0967694512845015,0.0980190378183689,22,1441,1.78523590691344,5.96098601953793,53524,0.0269225020551528,7264,5571,22,5818,39890,12193,124,26,0.234107098285429,0.173333333333333,NA,NA,NA,NA,"403466",-117.895833333333,33.8541666666667,177,129,55,3602,297,63,234,138,219,227,134,324,71,0,91,190,5,11,179,1876,145,"yes",1984,37
"Arlington","Arlington","Texas","Ulmus crassifolia","Quercus",32.735687,-97.1080656,379577,50,14827,104,14391,3.44571928791407,31.3658364017016,0.10900506838853,0.284524057488023,61,10611,3.0982658551091,22.159490175842,14359,0.738979037537433,5685,4682,61,4664,1686,2062,15,18,0.550160085378869,0.545454545454545,NA,NA,NA,NA,"676587",-97.1041666666667,32.7291666666667,186,121,35,7878,354,9,345,227,94,285,82,879,126,47,31,302,156,191,158,1884,137,"yes",1999,22
"Atlanta","Atlanta","Georgia","Cercis canadensis","Quercus",33.7489954,-84.3879824,447841,40,41307,283,36703,3.70269264916383,40.5563615207762,0.104438895488375,0.167276782467454,125,24648,3.4849779316479,32.6217071945951,36602,0.673405824818316,4019,3173,125,3206,4755,7199,30,37,0.602225196586917,0.552238805970149,NA,NA,NA,NA,"148959",-84.3958333333333,33.7291666666667,158,121,38,7311,314,-3,317,77,163,250,62,1298,144,78,16,393,265,316,358,1843,178,"yes",1985,36
"AuroraCO","Aurora (CO)","Colorado","Gleditsia triacanthos","Gleditsia",39.7294319,-104.8319195,345803,55,57658,119,47218,2.77178951054611,15.9872177214549,0.190142771183196,0.190142771183196,18,3774,2.05952543146425,7.84224724329046,45554,0.0828467313518023,3298,2720,18,2803,17326,24454,27,17,0.585303973192915,0.386363636363636,NA,NA,NA,NA,"268431",-104.8125,39.7291666666667,99,153,38,8363,308,-87,395,184,-3,210,-3,407,69,13,50,172,42,146,42,1903,118,"yes",1984,37
"Austin","Austin","Texas","Carya illinoinensis","Quercus",30.267153,-97.7430608,885400,11,7295,103,5962,2.86545327862619,17.557009618414,0.153639718215364,0.33109694733311,43,4609,2.33008576951627,10.2788231049224,5958,0.773581738838536,5685,4682,43,4699,909,440,28,19,0.326167531504818,0.404255319148936,NA,NA,NA,NA,"676587",-97.7291666666667,30.2708333333333,201,121,38,6945,356,38,318,239,123,286,108,813,110,38,32,272,156,179,163,1839,182,"yes",1992,29
"Baltimore","Baltimore","Maryland","Acer rubrum","Acer",39.2903848,-76.6121893,622104,26,121296,305,109488,3.65895017494054,38.8205666674271,0.107031230568982,0.216184846500137,108,61138,3.3115102698641,27.4265156489294,109470,0.558490910751804,3311,2119,108,2208,20199,28133,51,43,0.582078126293139,0.457446808510638,NA,NA,NA,NA,"25142",-76.6041666666667,39.2708333333333,135,117,32,8788,322,-41,363,247,20,247,20,1086,106,76,11,300,245,300,245,1796,225,"yes",1984,37
"Boston","Boston","Massachusetts","Pinus strobus","Pinus",42.3600825,-71.0588801,645966,24,1333,70,1302,3.0756632889,21.6642468013796,0.200300075018755,0.240060015003751,33,1040,2.59566331190576,13.4054764250862,1220,0.852459016393443,3243,1793,33,1797,55,125,7,14,0.694444444444444,0.666666666666667,NA,NA,NA,NA,"20202",-71.0625,42.3541666666667,98,107,29,8737,282,-77,359,10,186,210,-16,1120,113,79,10,314,251,251,294,1630,391,"yes",1996,25
"Buffalo","Buffalo","New York","Acer platanoides","Acer",42.8864468,-78.8783689,258959,73,132995,192,68786,3.33126570683462,27.9737258415273,0.178319375176437,0.34408313057038,71,19385,2.96091478746719,19.3156333752894,68733,0.282033375525584,3827,2241,71,2291,12936,36412,31,33,0.737861716786901,0.515625,NA,NA,NA,NA,"122057",-78.8958333333333,42.8958333333333,85,97,27,9125,266,-86,352,158,-28,200,-35,974,95,65,11,264,213,251,233,1832,189,"yes",1989,32
"CapeCoral","Cape Coral","Florida","Sabal palmetto","Quercus",26.5628537,-81.9495331,165831,146,34287,106,29796,2.96535638444354,19.4016164437993,0.221724449199291,0.236066998762997,39,21956,2.06078312316076,7.85211657751928,29209,0.75168612413982,4433,2974,39,3002,6244,1009,41,10,0.139114849027988,0.196078431372549,NA,NA,NA,NA,"138887",-81.9375,26.5625,233,113,52,3875,330,114,216,277,190,278,180,1334,224,40,67,651,133,632,147,1970,51,"yes",1992,29
