"filename_city","city_pretty","state","most_common_species","most_common_genus","Lat","Long","population","population_rank","number_trees","number_species","number_trees_filtered","Shannon_Wiener_Index","effective_species","max_abundance_most_common_species","max_abundance_most_common_genus","native_number_species","native_number_trees","native_Shannon_Wiener_Index","native_effective_species","number_trees_known_native_status","percent_native_trees","state_number_all_observed_species","state_number_native_species","shared_species_city_statenative","beta_diversity_city_statenative","nonnative_trees_NO_native_congener","nonnative_trees_YES_native_congener","nonnative_species_NO_native_congener","nonnative_species_YES_native_congener","nonnative_trees_PERCENTWITH_native_congeners","nonnative_species_PERCENTWITH_native_congeners","state_land_area_km2","number_species_iNext_all","number_species_asymest_all","number_species_asymest_SE_all","number_species_asymest_CIlower_all","number_species_asymest_CIhigher_all","effective_species_iNext_all","effective_species_asymest_all","effective_species_asymest_SE_all","effective_species_asymest_CIlower_all","effective_species_asymest_CIhigher_all","number_species_givenpop_all","number_species_givenpop_method_all","number_species_givenpop_CIlower_all","number_species_givenpop_CIhigher_all","effective_species_givenpop_all","effective_species_givenpop_method_all","effective_species_givenpop_CIlower_all","effective_species_givenpop_CIhigher_all","samplecoverage_estimate_all","number_species_iNext_native","number_species_asymest_native","number_species_asymest_SE_native","number_species_asymest_CIlower_native","number_species_asymest_CIhigher_native","effective_species_iNext_native","effective_species_asymest_native","effective_species_asymest_SE_native","effective_species_asymest_CIlower_native","effective_species_asymest_CIhigher_native","number_species_givenpop_native","number_species_givenpop_method_native","number_species_givenpop_CIlower_native","number_species_givenpop_CIhigher_native","effective_species_givenpop_native","effective_species_givenpop_method_native","effective_species_givenpop_CIlower_native","effective_species_givenpop_CIhigher_native","samplecoverage_estimate_native","Env_Long","Env_Lat","Annual_Mean_Temp","Mean_Diurnal_Range","Isothermality","Temp_Seasonality","Max_Temp_Warmest.Month","Min_Temp_Coldest_Month","Temp_Annual_Range","Mean_Temp_Wettest_Quarter","Mean_Temp_Driest_Quarter","Mean_Temp_Warmest_Quarter","Mean_Temp_Coldest_Quarter","Annual_Precip","Precip_Wettest_Month","Precip_Driest_Month","Precip_Seasonality","Precip_Wettest_Quarter","Precip_Driest_Quarter","Precip_Warmest_Quarter","Precip_Coldest_Quarter","city_incorporated_year","city_age_2021","tree_city_USA","tree_city_year","tree_city_age_2021","percent_cells_empty","skew_occupied_cells","kurtosis_occupied_cells"
"Albuquerque","Albuquerque","New Mexico","Ulmus pumila","Ulmus",35.0853336,-106.6055534,556495,32,2533,80,1943,3.53538086091016,34.308078832395,0.111168296448791,0.184328055217215,23,462,2.72402530460603,15.241550815156,1815,0.254545454545455,3993,3469,23,3503,815,538,21,10,0.397634885439763,0.32258064516129,314161,80,88.995,6.788,82.413,113.535,34.308,35.15,0.925,34.308,36.964,88.995,"extrapolated",73.31,104.681,35.15,"extrapolated",33.093,37.207,0.9938,23,27.49,7.179,23.494,63.833,15.242,15.702,0.553,15.242,16.786,27.49,"extrapolated",10.333,44.648,15.702,"extrapolated",14.622,16.781,0.9935,-106.604166666667,35.1041666666667,133,166,42,8360,338,-55,393,232,28,242,28,227,42,10,52,102,33,92,33,1891,130,"yes",1999,22,0.945181255526083,3.36713304465304,18.1289804052122
"Anaheim","Anaheim","California","Magnolia grandiflora","Magnolia",33.8352932,-117.9145036,345012,56,79651,291,53793,3.95912791799083,52.4115988006994,0.0978937780008551,0.0980190378183689,22,1441,1.78523590691344,5.96098601953793,50104,0.0287601788280377,7264,5571,22,5818,36821,11842,108,23,0.243347101493948,0.175572519083969,403466,291,343.082,19.548,316.567,397.096,52.412,52.589,0.277,52.412,53.132,272.43,"interpolated",263.138,281.723,52.336,"interpolated",51.75,52.923,0.9991,22,34.241,13.145,24.2,90.118,5.961,6.032,0.187,5.961,6.398,33.831,"extrapolated",16.401,51.262,6.032,"extrapolated",5.707,6.357,0.9951,-117.895833333333,33.8541666666667,177,129,55,3602,297,63,234,138,219,227,134,324,71,0,91,190,5,11,179,1876,145,"yes",1984,37,0.2734375,0.960315062876831,4.21685407560683
"Arlington","Arlington","Texas","Ulmus crassifolia","Quercus",32.735687,-97.1080656,379577,50,14827,104,14391,3.44775900939294,31.4298792645103,0.109095962754499,0.284524057488023,61,10611,3.0982658551091,22.159490175842,13674,0.77599824484423,5685,4682,61,4664,1522,1541,14,17,0.503101534443356,0.548387096774194,676587,104,111.142,5.902,105.737,133.373,31.43,31.556,0.35,31.43,32.242,110.351,"extrapolated",100.65,120.051,31.53,"extrapolated",30.94,32.121,0.9993,61,62,1.871,61.09,72.063,22.159,22.225,0.243,22.159,22.702,60.878,"interpolated",58.911,62.844,22.155,"interpolated",21.705,22.606,0.9998,-97.1041666666667,32.7291666666667,186,121,35,7878,354,9,345,227,94,285,82,879,126,47,31,302,156,191,158,1884,137,"yes",1999,22,0.640933572710952,10.2894502567319,147.60361859559
"Atlanta","Atlanta","Georgia","Cercis canadensis","Quercus",33.7489954,-84.3879824,447841,40,41307,284,36703,4.04464457243052,57.0908907510678,0.11737460153121,0.167276782467454,125,24648,3.4849779316479,32.6217071945951,33192,0.742588575560376,4019,3173,125,3207,4302,4242,24,25,0.496488764044944,0.510204081632653,148959,284,317.017,13.166,299.55,354.103,57.091,57.354,0.42,57.091,58.177,284.346,"extrapolated",275.11,293.582,57.093,"extrapolated",56.431,57.755,0.9988,125,128.846,3.302,125.896,141.5,32.622,32.71,0.255,32.622,33.209,112.149,"interpolated",109.511,114.787,32.49,"interpolated",31.984,32.995,0.9996,-84.3958333333333,33.7291666666667,158,121,38,7311,314,-3,317,77,163,250,62,1298,144,78,16,393,265,316,358,1843,178,"yes",1985,36,0.530678851174935,2.04699429582792,8.08656835375548
"AuroraCO","Aurora (CO)","Colorado","Gleditsia triacanthos","Gleditsia",39.7294319,-104.8319195,345803,55,57658,119,47218,3.06969263224111,21.5352824061358,0.220847981701893,0.190142771183196,18,3774,2.05952543146425,7.84224724329046,44018,0.0857376527784088,3298,2720,18,2803,16977,23267,27,16,0.578148295398072,0.372093023255814,268431,119,129.083,8,121.563,158.662,21.535,21.566,0.147,21.535,21.855,116.301,"interpolated",112.399,120.202,21.527,"interpolated",21.212,21.842,0.9998,18,18,0.482,18,19.34,7.842,7.86,0.14,7.842,8.135,18,"extrapolated",17.017,18.983,7.857,"extrapolated",7.543,8.172,1,-104.8125,39.7291666666667,99,153,38,8363,308,-87,395,184,-3,210,-3,407,69,13,50,172,42,146,42,1903,118,"yes",1984,37,0.721734892787524,0.978259837257676,4.12574855296816
"Austin","Austin","Texas","Carya illinoinensis","Quercus",30.267153,-97.7430608,885400,11,7295,103,5962,2.86545327862619,17.557009618414,0.153639718215364,0.33109694733311,43,4609,2.33008576951627,10.2788231049224,5715,0.806474190726159,5685,4682,43,4699,896,210,25,16,0.189873417721519,0.390243902439024,676587,103,120.997,9.603,109.747,151.003,17.557,17.752,0.323,17.557,18.385,120.98,"extrapolated",102.209,139.75,17.751,"extrapolated",17.148,18.353,0.996,43,46.124,3.657,43.506,62.296,10.279,10.332,0.174,10.279,10.674,45.644,"extrapolated",40.176,51.111,10.316,"extrapolated",9.983,10.649,0.9989,-97.7291666666667,30.2708333333333,201,121,38,6945,356,38,318,239,123,286,108,813,110,38,32,272,156,179,163,1839,182,"yes",1992,29,0.992356687898089,1.03703831752147,3.63699740020873
"Baltimore","Baltimore","Maryland","Acer rubrum","Acer",39.2903848,-76.6121893,622104,26,121296,305,109488,3.93411222220184,51.1167494915638,0.117912465293,0.216184846500137,108,61138,3.3115102698641,27.4265156489294,108591,0.563011667633598,3311,2119,108,2208,19673,27780,45,39,0.585421364297305,0.464285714285714,25142,305,333.016,11.435,317.98,365.47,51.117,51.199,0.2,51.117,51.591,254.965,"interpolated",250.08,259.85,50.964,"interpolated",50.53,51.399,0.9996,108,118.083,8,110.563,147.662,27.427,27.454,0.13,27.427,27.709,85.539,"interpolated",83.499,87.578,27.303,"interpolated",27.044,27.561,0.9998,-76.6041666666667,39.2708333333333,135,117,32,8788,322,-41,363,247,20,247,20,1086,106,76,11,300,245,300,245,1796,225,"yes",1984,37,0.151758793969849,1.83415621626924,7.86638700762349
"Boston","Boston","Massachusetts","Pinus strobus","Pinus",42.3600825,-71.0588801,645966,24,1333,70,1302,3.12536286979695,22.7681554706679,0.205069124423963,0.240060015003751,33,1040,2.59566331190576,13.4054764250862,1217,0.85456039441249,3243,1793,33,1797,55,122,7,13,0.689265536723164,0.65,20202,70,106.722,22.767,82.008,182.297,22.768,23.745,0.964,22.768,25.635,106.722,"extrapolated",66.766,146.677,23.745,"extrapolated",22.131,25.358,0.9839,33,41.991,10.164,34.519,86.229,13.405,13.684,0.535,13.405,14.733,41.963,"extrapolated",27.753,56.172,13.684,"extrapolated",12.645,14.723,0.9942,-71.0625,42.3541666666667,98,107,29,8737,282,-77,359,10,186,210,-16,1120,113,79,10,314,251,251,294,1630,391,"yes",1996,25,NA,NA,NA
"Buffalo","Buffalo","New York","Acer platanoides","Acer",42.8864468,-78.8783689,258959,73,132995,192,68786,3.52430787077741,33.9302813480909,0.192844474166255,0.34408313057038,71,19385,2.96091478746719,19.3156333752894,63855,0.30357841985749,3827,2241,71,2291,12143,32327,29,31,0.726939509781875,0.516666666666667,122057,192,198.722,5.308,193.718,218.306,33.93,33.981,0.2,33.93,34.372,183.826,"interpolated",179.95,187.701,33.887,"interpolated",33.558,34.215,0.9998,71,83.499,17.138,72.665,164.83,19.316,19.357,0.192,19.316,19.732,67.608,"interpolated",64.967,70.249,19.28,"interpolated",18.933,19.628,0.9997,-78.8958333333333,42.8958333333333,85,97,27,9125,266,-86,352,158,-28,200,-35,974,95,65,11,264,213,251,233,1832,189,"yes",1989,32,0.0940499040307102,0.839994698114803,5.44635685154303
"CapeCoral","Cape Coral","Florida","Sabal palmetto","Quercus",26.5628537,-81.9495331,165831,146,34287,106,29796,2.97294926068847,19.5494912033472,0.222580212109008,0.236066998762997,39,21956,2.06078312316076,7.85211657751928,27328,0.803425058548009,4433,2974,39,3002,4889,483,37,8,0.0899106478034252,0.177777777777778,138887,106,154.998,43.993,116.857,327.135,19.549,19.597,0.179,19.549,19.947,109.271,"extrapolated",99.732,118.809,19.558,"extrapolated",19.265,19.851,0.9995,39,51.499,17.138,40.665,132.83,7.852,7.861,0.062,7.852,7.982,35.64,"interpolated",33.724,37.556,7.843,"interpolated",7.714,7.973,0.9998,-81.9375,26.5625,233,113,52,3875,330,114,216,277,190,278,180,1334,224,40,67,651,133,632,147,1970,51,"yes",1992,29,0.6816,13.2027301496696,219.617075537929
